,Game_Title,All_Time_Sales,Weeks_Out,Weekly_Sales,Genre,Console,Publisher
0,.hack//G.U. Last Recode ,86008,1,86008.0,Role-Playing,PS4,Namco Bandai Games
1,1-2-Switch ,1927365,62,32010.285714285714,Party,NS,Nintendo
2,A Way Out ,186767,4,46691.75,Action,PS4,Electronic Arts
3,A Way Out ,42659,1,42659.0,Action,XOne,Electronic Arts
4,ABZU ,24841,1,24841.0,Adventure,PS4,505 Games
5,ARK: Survival Evolved ,270351,10,47038.25,Action,PS4,Studio Wildcard
6,ARK: Survival Evolved ,24299,1,24299.0,Action-Adventure,XOne,Studio Wildcard
7,Accel World vs. Sword Art Online: Millennium Twilight ,30941,1,30941.0,Action,PS4,Namco Bandai Games
8,Accel World vs. Sword Art Online: Millennium Twilight ,35486,1,35486.0,Action,PSV,Namco Bandai Games
9,Agents of Mayhem ,42475,1,42475.0,Action,PS4,Deep Silver
10,Agents of Mayhem ,24584,1,24584.0,Action,XOne,Deep Silver
11,Akiba's Beat ,27914,23,16362.0,Action,PS4,PQube
12,Akiba's Beat ,15144,1,15144.0,Action,PSV,PQube
13,Animal Crossing: New Leaf ,9743459,218,26383.0,Simulation,3DS,Nintendo
14,Arms ,1506781,31,65067.933333333334,Fighting,NS,Nintendo
15,Assassin's Creed Odyssey ,3176082,13,244314.0,Action-Adventure,PS4,Ubisoft
16,Assassin's Creed Odyssey ,1388057,13,118161.55555555556,Action-Adventure,XOne,Ubisoft
17,Assassin's Creed Origins ,3827137,39,107629.62857142858,Action,PS4,Ubisoft
18,Assassin's Creed Origins ,2024821,14,144630.07142857142,Action,XOne,Ubisoft
19,Assassin's Creed Rogue Remastered ,48234,1,48234.0,Action-Adventure,PS4,Ubisoft
20,Astro Bot Rescue Mission ,356466,8,100512.5,Platform,PS4,Sony Interactive Entertainment
21,Attack on Titan 2 ,56730,2,28365.0,Action,NS,Tecmo Koei
22,Attack on Titan 2 ,74488,2,37244.0,Action,PS4,Tecmo Koei
23,Battlefield 1 ,6810415,44,27952.39285714286,Shooter,PS4,Electronic Arts
24,Battlefield 1 ,4581966,25,27095.25,Shooter,XOne,Electronic Arts
25,Battlefield V ,2224270,6,370711.6666666667,Shooter,PS4,Electronic Arts
26,Battlefield V ,1547325,6,257887.5,Shooter,XOne,Electronic Arts
27,Bayonetta 2 ,305517,5,61103.4,Action,NS,Nintendo
28,Berserk and the Band of the Hawk ,101148,18,48202.0,Action,PS4,Tecmo Koei
29,Blade Strangers ,18210,1,18210.0,Fighting,NS,Nicalis
30,BlazBlue: Cross Tag Battle ,21662,2,16891.0,Fighting,NS,Arc System Works
