,Game_Title,Genre,Console,Publisher,Weekly_Sales,All_Time_Sales,Weeks_Out
0,.hack//G.U. Last Recode ,Role-Playing,PS4,Namco Bandai Games,86008.0,86008,1
1,1-2-Switch ,Party,NS,Nintendo,32010.285714285714,1927365,62
2,A Way Out ,Action,PS4,Electronic Arts,46691.75,186767,4
3,A Way Out ,Action,XOne,Electronic Arts,42659.0,42659,1
4,ABZU ,Adventure,PS4,505 Games,24841.0,24841,1
5,ARK: Survival Evolved ,Action,PS4,Studio Wildcard,47038.25,270351,10
6,ARK: Survival Evolved ,Action-Adventure,XOne,Studio Wildcard,24299.0,24299,1
7,Accel World vs. Sword Art Online: Millennium Twilight ,Action,PS4,Namco Bandai Games,30941.0,30941,1
8,Accel World vs. Sword Art Online: Millennium Twilight ,Action,PSV,Namco Bandai Games,35486.0,35486,1
9,Agents of Mayhem ,Action,PS4,Deep Silver,42475.0,42475,1
10,Agents of Mayhem ,Action,XOne,Deep Silver,24584.0,24584,1
11,Akiba's Beat ,Action,PS4,PQube,16362.0,27914,23
12,Akiba's Beat ,Action,PSV,PQube,15144.0,15144,1
13,Animal Crossing: New Leaf ,Simulation,3DS,Nintendo,26383.0,9743459,218
14,Arms ,Fighting,NS,Nintendo,65067.933333333334,1506781,31
15,Assassin's Creed Odyssey ,Action-Adventure,PS4,Ubisoft,244314.0,3176082,13
16,Assassin's Creed Odyssey ,Action-Adventure,XOne,Ubisoft,118161.55555555556,1388057,13
17,Assassin's Creed Origins ,Action,PS4,Ubisoft,107629.62857142858,3827137,39
18,Assassin's Creed Origins ,Action,XOne,Ubisoft,144630.07142857142,2024821,14
19,Assassin's Creed Rogue Remastered ,Action-Adventure,PS4,Ubisoft,48234.0,48234,1
20,Astro Bot Rescue Mission ,Platform,PS4,Sony Interactive Entertainment,100512.5,356466,8
21,Attack on Titan 2 ,Action,NS,Tecmo Koei,28365.0,56730,2
22,Attack on Titan 2 ,Action,PS4,Tecmo Koei,37244.0,74488,2
23,Battlefield 1 ,Shooter,PS4,Electronic Arts,27952.39285714286,6810415,44
24,Battlefield 1 ,Shooter,XOne,Electronic Arts,27095.25,4581966,25
25,Battlefield V ,Shooter,PS4,Electronic Arts,370711.6666666667,2224270,6
26,Battlefield V ,Shooter,XOne,Electronic Arts,257887.5,1547325,6
27,Bayonetta 2 ,Action,NS,Nintendo,61103.4,305517,5
28,Berserk and the Band of the Hawk ,Action,PS4,Tecmo Koei,48202.0,101148,18
29,Blade Strangers ,Fighting,NS,Nicalis,18210.0,18210,1
30,BlazBlue: Cross Tag Battle ,Fighting,NS,Arc System Works,16891.0,21662,2
31,BlazBlue: Cross Tag Battle ,Fighting,PS4,Arc System Works,22238.0,34915,2
32,Blue Reflection: Maboroshi ni Mau - Shoujo no Ken ,Role-Playing,PS4,Tecmo Koei,32218.0,32218,1
33,Bravo Team VR ,Shooter,PS4,Sony Interactive Entertainment,76692.0,76692,1
34,Burnout Paradise Remastered ,Racing,PS4,Electronic Arts,58191.5,116383,2
35,Burnout Paradise Remastered ,Racing,XOne,Electronic Arts,22226.0,22226,1
36,Caligula Overdose ,Role-Playing,PS4,FuRyu Corporation,19321.0,19321,1
